parent_folder,filename,cell,text
vertigo_nades,vertigo_nades/scaffolding_spot.png,12-8,Big Smoke Default
vertigo_nades,vertigo_nades/big_default_smoke_from_scaff.png,12-8,Throw
vertigo_nades,vertigo_nades/scaffolding_spot.png,12-8,Smoke Double
vertigo_nades,vertigo_nades/smoke_double_from_scaff.png,12-8,Throw
